ID	ckpt	sample_mIoU	F1@0.1	F1@0.3	F1@0.5	F1@0.7	F1@0.9	CR	FMR	CountF1	SCR	R@0.1	R@0.3	R@0.5	R@0.7	R@0.9	gt(mean)	pred(mean)	n_samples	testset
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling	1600	46.33	87.48	71.28	45.92	22.68	4.52	-	0.00	-	1.00	87.48	71.28	45.92	22.68	4.52	1.00	1.00	2500	charades_rlp_noaudio
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling	2000	45.71	83.35	68.60	46.65	24.05	4.75	-	0.00	-	1.00	83.35	68.60	46.65	24.05	4.75	1.00	1.00	2000	charades_rlp_noaudio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	44.46	67.39	48.06	34.32	19.71	3.74	0.04	0.01	0.08	0.62	57.63	39.06	27.79	15.96	3.03	1.68	1.04	864	unav100_tail_noaudio_s2
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	43.64	67.54	47.09	32.33	18.03	4.66	0.04	0.01	0.08	0.62	57.69	38.21	26.11	14.56	3.76	1.69	1.04	864	unav100_tail_noaudio_s1
sft_7b_unav_v8_rl_v2_rM_fp02	100	42.67	67.11	48.39	32.69	13.79	1.14	0.11	0.03	0.20	0.67	59.00	40.28	27.25	11.49	0.95	1.69	1.13	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	42.28	65.65	44.94	31.31	17.91	4.00	-	-	-	0.61	55.77	36.37	25.20	14.42	3.22	1.71	1.04	864	unav100_tail_noaudio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	41.51	64.60	42.11	30.09	17.37	3.74	0.03	0.02	0.05	0.59	54.12	33.86	24.04	13.88	2.99	1.75	1.04	863	unav100_tail_noaudio_s3
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling	2000	40.46	67.41	44.06	24.02	9.22	1.60	0.45	0.47	0.49	0.91	61.22	41.58	22.93	8.80	1.53	1.71	1.55	3455	unav100_noaudio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	39.51	63.08	42.52	28.48	16.51	3.88	0.05	0.01	0.09	0.61	53.62	34.33	22.88	13.27	3.11	1.71	1.04	864	unav100_tail_noaudio_s0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpucha_batch4	800	38.69	86.65	62.29	31.29	11.23	2.20	-	0.00	-	1.00	86.67	62.30	31.30	11.23	2.20	1.00	1.00	3000	charades_rlp_audio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	36.00	80.93	57.49	28.19	10.80	1.61	-	0.06	-	0.93	83.44	59.52	29.19	11.18	1.67	1.00	1.07	1860	charades_rlp_audio_s0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	35.30	80.05	56.04	27.54	11.01	1.85	-	0.06	-	0.93	82.34	57.85	28.44	11.37	1.91	1.00	1.07	3720	charades_rlp_audio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	34.60	79.17	54.58	26.90	11.23	2.09	-	0.05	-	0.94	81.24	56.18	27.69	11.56	2.15	1.00	1.06	1860	charades_rlp_audio_s1
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	34.56	72.39	49.79	29.45	15.84	5.17	-	0.00	-	1.00	72.43	49.83	29.49	15.86	5.17	1.00	1.00	3500	longvale_tail_g0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	34.24	87.78	53.61	19.44	6.67	0.89	-	0.04	-	0.94	90.32	55.27	20.05	6.88	0.91	1.00	1.06	1860	charades_rlp_noaudio_s0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	34.24	87.78	53.61	19.44	6.67	0.89	-	0.04	-	0.94	90.32	55.27	20.05	6.88	0.91	1.00	1.06	1860	charades_rlp_audio_s0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	33.89	86.83	51.95	19.74	7.19	1.09	-	0.05	-	0.93	89.68	53.79	20.46	7.45	1.13	1.00	1.07	3720	charades_rlp_noaudio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	33.89	86.83	51.95	19.74	7.19	1.09	-	0.05	-	0.93	89.68	53.79	20.46	7.45	1.13	1.00	1.07	3720	charades_rlp_audio
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	33.53	85.89	50.30	20.04	7.69	1.29	-	0.05	-	0.93	89.03	52.31	20.86	8.01	1.34	1.00	1.08	1860	charades_rlp_noaudio_s1
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	33.53	85.89	50.30	20.04	7.69	1.29	-	0.05	-	0.93	89.03	52.31	20.86	8.01	1.34	1.00	1.08	1860	charades_rlp_audio_s1
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	20.48	42.52	28.25	17.09	9.02	2.47	-	0.02	-	0.95	43.33	28.93	17.56	9.27	2.53	1.00	1.05	4500	longvale_tail_g0
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	19.21	47.50	25.50	14.45	6.90	1.75	-	0.00	-	1.00	47.50	25.50	14.45	6.90	1.75	1.00	1.00	2000	longvale_tail_g1
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	12.79	28.02	17.84	10.06	4.91	1.18	-	0.01	-	0.93	28.81	18.44	10.42	5.08	1.22	1.00	1.07	13867	longvale_tail
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	11.08	24.50	15.31	8.63	3.96	0.71	-	0.02	-	0.91	25.54	16.11	9.09	4.17	0.74	1.00	1.10	3500	longvale_tail_g1
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	8.23	20.13	11.73	5.65	2.26	0.55	-	0.01	-	0.94	20.73	12.10	5.83	2.33	0.57	1.00	1.06	3000	longvale_tail_g1b
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	8.19	19.30	12.14	6.09	2.74	0.48	-	0.01	-	0.96	19.60	12.37	6.20	2.79	0.49	1.00	1.04	2434	longvale_tail_g0b
